 ,Mean(CBpeduncle),Mean(RP1column),Mean(stimu)
1,26.084,41.232,48.458
2,25.294,40.773,48.750
3,25.226,40.993,48.250
4,25.285,41.561,48.708
5,25.244,41.276,49.167
6,25.281,41.380,48.667
7,25.140,41.441,48.708
8,25.170,41.637,48.792
9,25.002,41.485,48.750
10,25.151,41.500,48.958
11,24.936,41.490,48.208
12,24.786,41.537,48.667
13,24.617,41.515,48.333
14,24.586,41.222,48.292
15,24.572,41.341,49.333
16,24.251,41.261,53.625
17,24.033,41.110,58.375
18,23.979,41.068,63.708
19,23.984,41.266,69.792
20,23.938,41.190,76.833
21,23.652,40.893,81.792
22,23.848,41.190,83.833
23,23.874,41.215,83.708
24,23.599,41.185,84.583
25,23.631,41.310,85.042
26,23.570,41.068,83.917
27,23.569,41.171,82.333
28,29.102,41.493,80.458
29,32.019,41.663,77.667
30,33.698,41.427,72.042
31,34.860,40.934,69.000
32,35.272,40.766,69.625
33,35.901,40.568,72.083
34,36.140,40.715,72.542
35,36.198,40.856,70.250
36,35.796,40.727,68.000
37,35.697,40.849,66.833
38,35.735,40.549,69.125
39,35.353,40.359,71.542
40,35.102,40.305,71.167
41,35.050,40.466,67.875
42,34.585,40.095,65.833
43,34.398,39.846,65.083
44,34.294,39.778,65.292
45,33.987,39.861,65.417
46,33.927,39.871,65.625
47,33.729,39.790,65.417
48,33.739,39.371,64.250
49,33.514,39.398,64.042
50,33.390,39.385,63.750
51,33.289,39.146,62.833
52,33.094,39.005,60.750
53,33.117,39.385,57.250
54,32.792,39.200,54.417
55,32.875,39.051,52.542
56,33.190,39.563,51.917
57,33.153,39.424,51.792
58,32.941,39.659,51.792
59,32.694,39.537,50.750
60,32.710,39.727,49.583
61,32.496,39.598,49.292
62,32.231,39.768,48.625
63,31.991,39.410,48.708
64,31.889,39.546,48.792
65,31.594,39.583,48.583
66,31.479,39.749,48.708
67,31.452,39.673,48.500
68,31.280,39.754,48.708
69,30.984,39.666,48.708
70,30.879,39.649,48.708
71,30.879,39.907,48.917
72,30.729,39.463,48.875
73,30.545,39.524,48.833
74,30.427,39.846,48.833
75,30.409,39.739,48.750
76,30.086,39.895,48.917
77,29.997,39.580,48.875
78,29.837,40.102,48.750
79,29.962,40.017,48.708
80,30.274,40.307,48.542
81,30.253,40.249,48.750
82,30.147,40.078,48.750
83,29.882,40.195,48.833
84,29.686,40.427,48.833
85,29.585,40.246,48.708
86,29.366,40.210,49.250
87,29.206,40.210,48.625
88,28.882,40.371,48.583
89,28.851,40.376,48.833
90,28.759,40.417,48.667
91,28.814,40.280,48.750
92,28.465,40.383,48.792
93,28.264,40.368,48.833
94,27.989,40.515,48.708
95,28.059,40.273,48.833
96,27.962,40.578,48.917
97,27.669,40.617,48.542
98,27.657,40.490,48.792
99,27.446,40.683,48.792
100,27.240,40.720,48.792
101,27.090,40.800,48.333
102,27.104,40.849,48.583
103,26.710,40.685,48.583
104,26.687,40.861,49.000
105,26.407,40.688,48.417
106,26.286,40.883,48.958
107,26.233,40.956,48.833
108,26.642,41.120,48.542
109,26.610,41.337,48.750
110,26.514,41.454,48.875
111,26.258,41.393,48.958
112,26.035,41.254,48.583
113,25.802,41.637,48.667
114,25.608,41.505,48.583
115,25.564,41.395,48.667
116,25.332,41.422,48.417
117,25.338,41.363,48.417
118,25.037,41.202,48.417
119,25.063,41.383,48.625
120,24.706,41.473,48.417
121,24.877,41.134,48.625
122,24.620,41.232,48.625
123,24.436,41.454,48.625
124,24.280,41.207,48.583
125,24.154,41.288,48.667
126,24.274,41.332,48.333
127,24.300,41.446,48.375
128,23.745,41.478,48.458
129,23.562,41.341,48.708
130,23.701,41.539,48.667
131,23.558,41.571,48.542
132,23.519,41.473,49.125
133,23.547,41.673,48.667
134,23.333,41.534,48.667
135,23.198,41.505,49.000
136,23.143,41.595,48.708
137,22.930,41.466,48.625
138,22.849,41.405,48.625
139,22.996,41.590,48.500
140,22.869,41.573,48.750
141,23.062,41.505,48.875
142,23.189,41.834,48.375
143,23.177,41.793,48.875
144,23.083,41.917,48.792
145,23.175,42.005,48.750
146,23.004,41.949,48.792
147,22.752,41.876,48.375
148,22.633,41.934,48.542
149,22.778,41.707,48.625
150,22.499,41.715,48.625
151,22.182,41.920,48.417
152,22.542,41.744,48.542
153,22.371,41.873,48.708
154,22.376,41.732,48.792
155,22.066,41.610,48.708
156,22.195,41.773,49.042
157,22.027,41.595,48.667
158,21.921,41.920,48.625
159,21.853,41.749,48.375
160,21.841,41.610,48.292
161,21.701,41.666,48.833
162,21.648,41.734,48.583
163,21.838,41.705,49.042
164,21.692,41.510,48.792
165,21.739,41.729,48.792
166,21.645,41.656,48.792
167,21.639,41.844,48.667
168,21.880,41.593,48.667
169,21.652,41.600,48.667
170,21.589,41.610,48.625
171,21.515,41.654,48.583
172,21.507,41.966,48.708
173,21.634,41.659,48.583
174,21.439,41.646,48.708
175,21.740,41.632,48.625
176,21.414,41.890,48.583
177,21.401,41.715,48.667
178,21.300,41.507,48.625
179,21.298,41.754,49.000
180,21.391,41.451,48.625
181,21.434,41.515,48.875
182,21.431,41.493,48.958
183,21.420,41.688,48.417
184,21.599,41.773,49.000
185,21.440,41.778,48.583
186,21.502,41.566,48.583
187,21.612,41.327,48.583
188,21.714,41.946,48.833
189,21.410,41.639,48.833
190,21.481,41.600,48.708
191,21.570,41.476,48.958
192,21.535,41.502,48.875
193,21.225,41.505,48.500
194,21.381,41.566,48.542
195,21.274,41.471,48.875
196,21.358,41.680,48.583
197,21.413,41.273,48.458
198,21.306,41.561,48.417
199,21.417,41.761,48.458
200,21.360,41.439,48.833
201,21.300,41.861,48.458
202,21.225,41.524,49.000
203,21.356,41.561,48.417
204,21.102,41.588,48.542
205,21.204,41.361,48.833
206,21.177,41.483,48.708
207,21.002,41.293,48.625
208,20.878,41.420,48.958
209,20.915,41.395,48.958
210,21.137,41.637,48.958
211,21.045,41.510,49.167
212,20.906,41.563,48.958
213,21.000,41.607,48.958
214,20.978,41.707,48.958
215,21.057,41.639,49.042
216,20.812,41.573,48.958
217,21.072,41.834,48.958
218,21.195,41.790,48.667
219,21.574,41.810,48.958
220,21.355,41.634,48.833
221,21.379,41.583,48.875
222,21.142,41.810,48.792
223,21.266,41.593,49.167
224,20.907,41.739,49.208
225,21.048,41.634,48.875
226,20.924,41.846,48.792
227,20.910,41.698,48.833
228,20.766,41.724,48.917
229,20.875,41.556,48.750
230,20.926,41.641,48.792
231,20.672,41.668,48.792
232,20.795,41.502,48.833
233,20.934,41.702,48.833
234,20.735,41.466,48.917
235,20.597,41.600,48.542
236,20.942,41.451,48.792
237,20.711,41.446,48.792
238,20.920,41.471,48.667
239,20.567,41.551,48.583
240,20.905,41.505,49.083
241,20.777,41.544,48.667
242,20.812,41.732,48.792
243,20.348,41.451,48.625
244,20.665,41.412,48.792
245,20.545,41.454,48.583
246,20.795,41.817,49.333
247,20.480,41.802,48.583
248,20.649,41.695,48.750
249,20.729,41.534,48.667
250,20.764,41.537,48.792
251,20.785,41.595,48.417
252,20.993,41.702,48.542
253,20.952,41.807,48.625
254,20.766,41.673,48.750
255,27.340,41.961,48.917
256,29.948,41.971,48.792
257,30.474,42.251,48.667
258,30.551,41.976,48.917
259,30.507,42.373,49.000
260,30.414,41.893,48.750
261,30.029,41.929,48.750
262,29.938,41.734,48.875
263,30.032,41.617,48.750
264,29.715,41.834,48.917
265,29.365,41.532,48.833
266,29.201,41.668,48.667
267,28.998,41.651,48.667
268,28.812,41.739,48.667
269,28.608,41.829,48.750
270,28.492,41.380,48.750
271,28.375,41.366,48.750
272,28.331,41.378,48.750
273,27.964,41.422,48.750
274,27.941,41.263,48.708
275,27.825,41.359,48.583
276,27.877,41.285,48.750
277,27.553,41.139,48.917
278,27.434,41.159,48.875
279,27.517,41.220,48.833
280,27.391,41.032,49.583
281,27.203,40.985,55.333
282,27.016,41.076,62.375
283,26.857,40.705,67.000
284,26.831,40.773,71.625
285,26.567,40.829,78.083
286,26.414,40.895,83.208
287,26.300,41.012,87.333
288,26.201,40.795,92.583
289,26.195,41.161,96.667
290,26.097,40.883,99.250
291,26.070,40.998,101.125
292,25.998,41.093,102.292
293,26.075,40.732,102.917
294,26.036,40.741,103.208
295,25.843,40.744,102.917
296,25.598,40.710,101.875
297,25.739,40.856,100.375
298,25.594,40.654,99.792
299,25.437,40.593,98.167
300,29.004,40.793,97.250
301,32.382,40.680,96.292
302,33.294,40.656,96.000
303,33.194,40.324,95.167
304,32.456,40.456,94.875
305,32.138,40.412,94.875
306,31.618,40.502,95.042
307,31.215,40.515,94.875
308,30.614,40.644,94.750
309,30.336,40.744,94.875
310,30.238,40.593,94.792
311,29.708,40.512,94.917
312,29.556,40.402,94.917
313,29.405,40.546,95.000
314,29.052,40.456,95.417
315,29.044,40.659,95.583
316,28.524,40.554,95.542
317,28.629,40.517,95.417
318,28.212,40.410,95.125
319,28.005,40.393,95.000
320,27.851,40.405,94.958
321,27.672,40.541,95.500
322,27.423,40.324,95.250
323,27.467,40.317,95.292
324,27.247,40.541,95.125
325,30.692,40.727,95.125
326,32.697,40.646,94.958
327,32.681,40.837,94.958
328,32.499,40.859,94.917
329,32.294,40.815,95.000
330,31.801,40.861,94.958
331,31.359,40.822,94.792
332,30.939,40.546,94.833
333,30.520,40.646,94.875
334,29.942,40.532,94.917
335,29.495,40.780,94.833
336,29.028,40.602,94.875
337,28.830,40.580,94.875
338,28.293,40.329,94.958
339,28.144,40.720,94.917
340,27.801,40.476,95.083
341,27.781,40.485,94.583
342,27.500,40.588,94.708
343,27.396,40.334,94.917
344,27.450,40.656,95.042
345,27.167,40.620,95.000
346,27.038,40.478,95.125
347,26.905,40.841,95.292
348,30.996,41.122,95.042
349,31.298,41.022,95.167
350,31.670,41.044,95.167
351,31.456,41.017,95.375
352,31.036,40.990,95.208
353,30.588,40.834,95.208
354,30.033,40.615,95.083
355,29.850,41.005,95.083
356,29.406,40.949,95.083
357,29.326,40.768,95.292
358,28.932,40.795,95.208
359,28.906,40.705,94.750
360,28.784,40.695,95.417
361,29.004,40.654,94.917
362,28.335,40.185,95.250
363,28.286,40.590,95.333
364,28.414,40.641,95.167
365,28.287,40.790,94.917
366,28.328,40.324,94.667
367,28.561,40.678,95.250
368,28.302,40.644,95.167
369,30.236,40.561,94.708
370,31.192,40.868,94.708
371,31.252,40.844,94.708
372,31.001,40.866,94.708
373,30.723,41.061,94.708
374,30.408,40.800,94.833
375,30.052,41.212,94.917
376,30.058,41.027,94.917
377,29.801,40.739,94.917
378,29.690,40.900,94.875
379,29.370,40.834,94.750
380,29.104,40.783,94.875
381,28.922,40.600,94.833
382,28.786,40.585,94.875
383,28.478,40.720,95.000
384,28.652,40.866,95.042
385,28.593,40.485,94.833
386,29.460,40.656,95.000
387,30.763,40.778,94.917
388,30.989,41.215,94.917
389,30.466,41.034,94.792
390,30.577,40.993,95.000
391,30.360,41.076,94.875
392,29.893,40.871,94.625
393,29.849,40.985,94.750
394,29.623,40.737,94.625
395,29.366,40.815,94.625
396,29.261,40.895,94.750
397,29.018,40.880,94.750
398,29.038,40.820,94.625
399,28.920,40.937,94.625
400,28.568,40.912,94.625
401,28.391,40.641,94.625
402,28.393,40.656,94.583
403,28.314,40.863,94.583
404,27.973,41.061,94.625
405,28.027,40.668,94.667
406,27.885,40.661,94.667
407,27.938,40.746,94.417
408,27.913,40.590,94.875
409,30.025,40.900,94.833
410,30.684,41.066,95.083
411,30.530,41.220,94.708
412,30.211,41.139,94.792
413,29.993,41.071,94.542
414,29.528,41.073,94.667
415,29.094,40.898,94.750
416,28.754,40.971,94.750
417,28.586,40.941,94.750
418,28.376,40.915,94.750
419,28.042,40.620,94.750
420,27.770,40.698,94.750
421,27.664,40.583,94.750
422,27.452,40.644,94.417
423,27.050,40.641,94.500
424,27.005,40.424,92.583
425,26.933,40.610,85.750
426,26.570,40.363,78.542
427,26.446,40.676,75.375
428,26.319,40.385,68.958
429,26.037,40.644,62.125
430,25.750,40.663,58.542
431,25.508,40.400,55.708
432,25.302,40.498,51.458
433,25.321,40.471,49.458
434,25.227,40.539,48.542
435,24.908,40.415,48.875
436,24.891,40.473,48.375
437,24.720,40.468,48.625
438,24.209,40.361,48.625
439,24.241,40.400,48.625
440,24.102,40.583,48.833
441,23.972,40.412,48.750
442,23.942,40.427,48.417
443,23.649,40.434,48.708
444,23.511,40.680,48.750
445,23.367,40.785,48.625
446,23.076,40.441,48.708
447,22.889,40.700,48.708
448,22.648,40.373,48.833
449,22.678,40.546,48.542
450,22.226,40.610,48.708
451,22.046,40.551,48.750
452,22.195,40.385,49.000
453,22.151,40.395,48.792
454,21.775,40.329,49.292
455,21.988,40.739,48.917
456,21.734,40.583,49.083
457,26.076,40.841,48.792
458,27.167,40.946,48.667
459,27.202,40.998,48.833
460,27.011,41.088,49.083
461,26.700,40.871,48.750
462,26.626,41.154,48.958
463,26.134,40.968,49.083
464,25.714,41.029,48.958
465,25.336,40.756,49.000
466,24.828,40.888,48.792
467,24.504,40.824,48.958
468,24.287,40.817,49.125
469,23.757,40.805,48.833
470,23.616,40.929,48.833
471,23.506,40.685,49.083
472,23.199,40.571,48.792
473,22.965,40.610,48.708
474,22.698,40.639,48.708
475,22.502,40.624,48.792
476,22.563,40.488,48.542
477,22.185,40.480,48.708
478,22.142,40.390,48.875
479,22.050,40.573,48.792
480,21.854,40.456,48.917
481,21.957,40.339,48.875
482,21.860,40.656,49.042
483,21.524,40.554,48.583
484,21.309,40.483,48.542
485,21.410,40.363,48.667
486,21.200,40.715,48.708
487,21.509,40.380,48.792
488,21.089,40.332,48.375
489,21.129,40.434,48.458
490,21.189,40.483,48.375
491,21.087,40.283,48.208
492,20.804,40.493,48.458
493,20.865,40.763,48.375
494,20.835,40.463,48.667
495,20.807,40.412,48.667
496,20.660,40.276,48.250
497,20.358,40.356,48.583
498,20.423,40.222,49.833
499,20.455,40.202,54.208
500,20.112,40.263,60.333
501,20.104,40.034,65.542
502,20.238,40.268,70.708
503,20.187,40.017,77.583
504,20.108,40.393,82.958
505,20.078,39.961,86.375
506,20.100,40.056,89.667
507,20.247,39.915,93.292
508,20.575,39.893,94.042
509,20.461,40.266,94.083
510,20.657,40.166,94.667
511,20.367,40.210,94.750
512,20.359,40.056,94.708
513,20.248,40.463,94.500
514,20.090,40.193,95.000
515,20.074,39.912,95.167
516,19.972,39.866,95.083
517,20.164,40.039,94.750
518,19.929,40.139,95.250
519,19.811,39.849,95.000
520,19.658,40.134,95.000
521,20.007,40.073,95.083
522,19.917,39.883,95.083
523,19.793,40.161,94.792
524,19.698,40.049,94.792
525,19.693,39.966,94.875
526,19.755,39.885,94.750
527,19.505,39.841,94.875
528,19.636,39.707,95.000
529,19.657,40.054,94.958
530,19.471,39.644,95.042
531,19.602,39.741,95.042
532,19.736,39.649,95.042
533,19.673,39.734,95.042
534,19.468,39.805,95.042
535,19.640,39.873,95.125
536,19.693,39.968,95.000
537,19.648,39.739,95.000
538,19.575,39.632,94.917
539,19.524,39.620,95.000
540,19.497,39.502,95.000
541,19.766,39.895,95.000
542,19.392,39.715,95.000
543,19.461,39.620,95.000
544,19.636,39.624,95.000
545,19.483,39.788,95.000
546,19.433,39.478,95.000
547,19.353,39.468,95.042
548,19.410,39.559,94.625
549,19.445,39.605,95.000
550,19.428,39.410,95.125
551,19.337,39.622,95.000
552,19.518,39.512,95.000
553,19.506,39.656,94.792
554,19.539,39.656,94.875
555,19.270,39.595,94.875
556,19.495,39.673,94.875
557,19.356,39.680,94.833
558,19.422,39.637,94.875
559,19.502,39.656,94.875
560,19.444,39.629,94.917
561,19.308,39.615,94.875
562,19.651,39.629,94.875
563,19.431,39.583,94.833
564,19.540,39.441,94.875
565,19.312,39.734,94.667
566,19.461,39.502,94.667
567,19.487,39.780,94.667
568,19.195,39.712,94.792
569,19.263,39.490,94.792
570,19.407,39.759,94.875
571,19.449,39.707,94.917
572,19.363,39.644,94.958
573,19.437,39.776,94.875
574,19.212,39.693,94.958
575,19.350,39.773,94.917
576,19.306,39.761,94.792
577,19.466,39.851,94.833
578,19.357,39.915,94.833
579,19.365,39.868,94.833
580,19.324,39.573,94.792
581,24.238,40.061,94.917
582,26.544,40.380,94.917
583,26.423,40.573,94.917
584,26.503,40.420,94.958
585,26.309,40.554,94.875
586,26.038,40.488,94.917
587,25.448,40.224,94.917
588,24.884,40.234,94.917
589,24.618,40.300,94.875
590,24.207,40.317,94.792
591,23.931,40.559,94.917
592,23.762,40.090,94.750
593,23.353,40.007,94.792
594,23.312,39.895,94.792
595,23.117,39.990,94.917
596,23.004,39.666,94.833
597,22.958,39.910,94.833
598,22.591,39.727,94.875
599,22.379,39.910,94.625
600,22.398,39.712,94.625
601,22.305,39.654,94.583
602,22.315,39.783,94.625
603,21.924,39.754,94.625
604,21.845,39.822,94.625
605,21.877,39.651,94.625
606,21.626,39.632,94.625
607,21.570,39.668,94.625
608,21.306,39.717,94.667
609,21.460,39.773,94.958
610,25.333,39.954,94.833
611,26.837,40.134,94.917
612,26.906,40.400,94.917
613,26.891,40.346,95.000
614,26.765,40.583,95.000
615,26.292,40.563,94.583
616,25.822,40.429,95.167
617,25.760,40.490,94.875
618,25.049,40.229,94.583
619,24.857,40.461,94.833
620,24.622,40.366,94.708
621,24.383,40.368,94.792
622,23.896,40.700,95.083
623,23.981,40.412,95.000
624,23.831,40.215,94.958
625,23.440,40.156,95.000
626,23.336,40.420,95.000
627,23.273,40.071,95.042
628,23.103,40.251,95.000
629,23.060,40.361,95.042
630,22.717,40.166,94.958
631,22.518,40.139,95.000
632,22.449,40.029,95.000
633,22.504,40.176,95.000
634,22.354,40.124,95.000
635,26.454,40.368,94.875
636,27.605,40.420,95.042
637,27.668,40.371,94.958
638,27.479,40.537,94.875
639,27.419,40.634,94.833
640,26.853,40.454,94.625
641,26.447,40.459,94.917
642,26.105,40.222,92.625
643,25.712,40.359,86.583
644,25.327,40.315,80.458
645,25.082,40.322,75.750
646,24.804,40.300,70.417
647,24.519,40.488,64.167
648,24.366,40.217,58.792
649,23.996,40.227,56.250
650,23.825,40.254,52.250
651,23.826,40.541,49.583
652,23.734,40.307,48.417
653,23.386,40.029,49.208
654,26.974,40.598,48.500
655,27.413,40.420,48.417
656,27.151,40.583,48.708
657,26.725,40.434,49.042
658,26.642,40.556,49.250
659,26.336,40.710,48.875
660,25.881,40.588,48.583
661,25.485,40.622,48.958
662,25.176,40.668,49.000
663,25.097,40.573,48.542
664,24.771,40.554,49.167
665,24.448,40.554,48.833
666,24.248,40.412,48.750
667,24.170,40.488,49.125
668,26.518,40.612,48.292
669,27.348,41.049,48.583
670,27.367,40.832,48.708
671,27.106,40.846,48.708
672,26.671,40.763,48.625
673,26.356,40.890,48.542
674,26.087,41.049,48.792
675,25.922,40.793,48.792
676,25.558,40.790,48.667
677,25.326,40.707,48.583
678,25.115,40.773,48.667
679,25.026,40.802,48.708
680,26.492,41.037,48.250
681,27.490,41.059,48.708
682,27.442,41.020,48.750
683,27.054,41.320,48.625
684,26.661,41.105,48.708
685,26.298,40.980,48.625
686,26.004,40.976,48.417
687,25.694,41.005,48.500
688,25.405,40.861,48.667
689,25.127,40.724,48.750
690,24.927,40.746,48.750
691,24.804,40.880,48.667
692,24.576,40.827,48.917
693,24.809,40.912,48.583
694,24.818,40.915,48.917
695,27.015,41.088,48.792
696,26.964,40.939,48.542
697,26.813,41.200,48.583
698,26.510,40.990,48.875
699,26.023,40.646,48.750
700,26.172,41.078,48.542
701,25.932,41.115,48.708
702,25.503,41.154,48.708
703,25.320,41.068,48.458
704,24.995,40.861,48.625
705,24.775,41.100,48.958
706,24.741,40.861,48.833
707,24.213,40.778,48.917
708,24.192,40.968,48.583
709,24.161,40.912,48.542
710,24.167,40.524,48.667
711,23.870,40.844,48.583
712,23.814,40.751,48.917
713,23.773,40.729,48.625
714,23.472,40.780,48.292
715,23.583,40.832,48.667
716,25.660,40.961,48.667
717,26.297,41.020,48.667
718,26.174,41.317,48.583
719,25.929,40.976,48.792
720,25.719,40.966,49.042
721,25.242,40.902,49.000
722,24.972,40.963,48.917
723,24.616,41.020,48.917
724,24.238,40.641,48.542
725,23.809,40.878,48.667
726,23.623,40.732,48.667
727,23.399,40.846,48.542
728,23.195,40.902,48.708
729,22.856,40.773,48.458
730,22.843,40.502,48.292
731,22.385,40.722,48.792
732,22.371,40.729,48.833
733,22.285,40.537,48.875
734,22.015,40.549,48.917
735,22.064,40.939,48.125
736,21.818,40.715,48.917
737,21.598,40.627,48.958
738,21.704,40.483,48.583
739,21.642,40.624,48.833
740,21.478,40.620,48.833
741,21.351,40.641,48.458
742,21.221,40.702,48.542
743,21.124,40.622,48.417
744,21.165,40.602,48.375
745,21.043,40.529,48.417
